name,rating,atnm,region_name,outdoor_swimming_pool,restaurant,excellent_breakfast,free_parking,free_wifi,fitness_center,breakfast,bar,very_good_breakfast,indoor_swimming_pool,spa,3_swimming_pools,2_swimming_pools,4_swimming_pools,room_service,beachfront,private_beach_area,wifi_in_all_areas
Desert Inn,7.6,Motels,New Mexico,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Super 8 by Wyndham Portales,6.9,Motels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ohkay Hotel Casino,7.9,Hotels,New Mexico,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
Best Western Plus Portales Inn,8.6,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"Holiday Inn Express & Suites Portales, an IHG Hotel",8.3,Hotels,New Mexico,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Abiquiu Inn,8.7,Hotels,New Mexico,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Hotel Eklund,8.6,Hotels,New Mexico,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Historic Plaza Hotel,8.6,Hotels,New Mexico,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Hikers Cimarron Inn & RV Park,9.4,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Baymont by Wyndham Belen NM,8.9,Hotels,New Mexico,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Pelican Spa,7.4,Motels,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Deer Lodge,7.8,Lodges,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Days Inn & Suites by Wyndham Santa Rosa,7.5,Hotels,New Mexico,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LuLu Silver City,8.3,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Four Winds Motel & RV Park,8.3,Motels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
La Quinta by Wyndham Santa Rosa,8.2,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
